DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/03/2018,10:15,,,40.72135,-74.00465,"(40.72135, -74.00465)",CANAL STREET                    ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3874589,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/03/2018,10:15,,,40.66336,-73.95975,"(40.66336, -73.95975)",EMPIRE BOULEVARD                ,,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3874669,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/03/2018,10:17,STATEN ISLAND,10309,40.522366,-74.21674,"(40.522366, -74.21674)",PENTON STREET                   ,AMBOY ROAD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3874698,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/03/2018,10:20,QUEENS,11416,40.684525,-73.85584,"(40.684525, -73.85584)",,,95-04     85 STREET                     ,0,0,0,0,0,0,0,0,Other Vehicular,,,,,3874716,DS,SPORT UTILITY / STATION WAGON,,,
04/03/2018,10:25,,,40.700245,-73.92089,"(40.700245, -73.92089)",STANHOPE STREET                 ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3874455,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/03/2018,10:30,BROOKLYN,11220,40.644127,-74.00417,"(40.644127, -74.00417)",47 STREET                       ,7 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3874662,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/03/2018,10:30,,,40.76663,-73.88903,"(40.76663, -73.88903)",GRAND CENTRAL PKWY              ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3874653,SPORT UTILITY / STATION WAGON,SP,,,
04/03/2018,10:30,,,40.664707,-73.92824,"(40.664707, -73.92824)",ROCHESTER AVENUE                ,EAST NEW YORK AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3879159,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/03/2018,10:30,,,40.861862,-73.91282,"(40.861862, -73.91282)",WEST FORDHAM ROAD               ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3875512,SPORT UTILITY / STATION WAGON,TN,,,
04/03/2018,10:34,BRONX,10466,40.89154,-73.849846,"(40.89154, -73.849846)",BOYD AVENUE                     ,EDENWALD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3875026,PICK-UP TRUCK,,,,
